UTC,Date,Local,Away,Home,Venue,TZ,Description
2023-06-05T22:40:00+00:00,2023-06-05,06:40 PM,Detroit Tigers,Philadelphia Phillies,Citizens Bank Park,US/Eastern,Regular Season
2023-06-05T22:40:00+00:00,2023-06-05,06:40 PM,Kansas City Royals,Miami Marlins,loanDepot park,US/Eastern,Regular Season
2023-06-05T23:05:00+00:00,2023-06-05,07:05 PM,Oakland Athletics,Pittsburgh Pirates,PNC Park,US/Eastern,Regular Season
2023-06-05T23:07:00+00:00,2023-06-05,07:07 PM,Houston Astros,Toronto Blue Jays,Rogers Centre,Canada/Eastern,Regular Season
2023-06-05T23:10:00+00:00,2023-06-05,07:10 PM,Milwaukee Brewers,Cincinnati Reds,Great American Ball Park,US/Eastern,Regular Season
2023-06-06T00:05:00+00:00,2023-06-05,06:05 PM,St. Louis Cardinals,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-06T01:40:00+00:00,2023-06-05,06:40 PM,Chicago Cubs,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-06T22:40:00+00:00,2023-06-06,06:40 PM,Minnesota Twins,Tampa Bay Rays,Tropicana Field,US/Eastern,Regular Season
2023-06-06T22:40:00+00:00,2023-06-06,06:40 PM,Detroit Tigers,Philadelphia Phillies,Citizens Bank Park,US/Eastern,Regular Season
2023-06-06T22:40:00+00:00,2023-06-06,06:40 PM,Kansas City Royals,Miami Marlins,loanDepot park,US/Eastern,Regular Season
2023-06-06T23:05:00+00:00,2023-06-06,07:05 PM,Arizona Diamondbacks,Washington Nationals,Nationals Park,US/Eastern,Regular Season
2023-06-06T23:05:00+00:00,2023-06-06,07:05 PM,Oakland Athletics,Pittsburgh Pirates,PNC Park,US/Eastern,Regular Season
2023-06-06T23:05:00+00:00,2023-06-06,07:05 PM,Chicago White Sox,New York Yankees,Yankee Stadium,US/Eastern,Regular Season
2023-06-06T23:07:00+00:00,2023-06-06,07:07 PM,Houston Astros,Toronto Blue Jays,Rogers Centre,Canada/Eastern,Regular Season
2023-06-06T23:10:00+00:00,2023-06-06,07:10 PM,Los Angeles Dodgers,Cincinnati Reds,Great American Ball Park,US/Eastern,Regular Season
2023-06-06T23:20:00+00:00,2023-06-06,07:20 PM,New York Mets,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-06T23:40:00+00:00,2023-06-06,06:40 PM,Baltimore Orioles,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-07T00:05:00+00:00,2023-06-06,06:05 PM,St. Louis Cardinals,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-07T00:40:00+00:00,2023-06-06,06:40 PM,San Francisco Giants,Colorado Rockies,Coors Field,US/Mountain,Regular Season
2023-06-07T01:38:00+00:00,2023-06-06,06:38 PM,Chicago Cubs,Los Angeles Angels,Angel Stadium,US/Pacific,Regular Season
2023-06-07T01:40:00+00:00,2023-06-06,06:40 PM,Seattle Mariners,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-06T23:10:00+00:00,2023-06-06,07:10 PM,Boston Red Sox,Cleveland Guardians,Progressive Field,US/Eastern,Regular Season
2023-06-07T16:35:00+00:00,2023-06-07,12:35 PM,Oakland Athletics,Pittsburgh Pirates,PNC Park,US/Eastern,Regular Season
2023-06-07T20:10:00+00:00,2023-06-07,01:10 PM,Seattle Mariners,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-07T22:05:00+00:00,2023-06-07,06:05 PM,Detroit Tigers,Philadelphia Phillies,Citizens Bank Park,US/Eastern,Regular Season
2023-06-07T22:40:00+00:00,2023-06-07,06:40 PM,Minnesota Twins,Tampa Bay Rays,Tropicana Field,US/Eastern,Regular Season
2023-06-07T22:40:00+00:00,2023-06-07,06:40 PM,Kansas City Royals,Miami Marlins,loanDepot park,US/Eastern,Regular Season
2023-06-07T23:05:00+00:00,2023-06-07,07:05 PM,Arizona Diamondbacks,Washington Nationals,Nationals Park,US/Eastern,Regular Season
2023-06-07T23:05:00+00:00,2023-06-07,07:05 PM,Chicago White Sox,New York Yankees,Yankee Stadium,US/Eastern,Regular Season
2023-06-07T23:07:00+00:00,2023-06-07,07:07 PM,Houston Astros,Toronto Blue Jays,Rogers Centre,Canada/Eastern,Regular Season
2023-06-07T23:10:00+00:00,2023-06-07,07:10 PM,Los Angeles Dodgers,Cincinnati Reds,Great American Ball Park,US/Eastern,Regular Season
2023-06-07T23:20:00+00:00,2023-06-07,07:20 PM,New York Mets,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-07T23:40:00+00:00,2023-06-07,06:40 PM,Baltimore Orioles,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-08T00:05:00+00:00,2023-06-07,06:05 PM,St. Louis Cardinals,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-08T00:40:00+00:00,2023-06-07,06:40 PM,San Francisco Giants,Colorado Rockies,Coors Field,US/Mountain,Regular Season
2023-06-08T01:38:00+00:00,2023-06-07,06:38 PM,Chicago Cubs,Los Angeles Angels,Angel Stadium,US/Pacific,Regular Season
2023-06-07T23:10:00+00:00,2023-06-07,07:10 PM,Boston Red Sox,Cleveland Guardians,Progressive Field,US/Eastern,Regular Season
2023-06-08T16:35:00+00:00,2023-06-08,12:35 PM,Los Angeles Dodgers,Cincinnati Reds,Great American Ball Park,US/Eastern,Regular Season
2023-06-08T17:05:00+00:00,2023-06-08,01:05 PM,Arizona Diamondbacks,Washington Nationals,Nationals Park,US/Eastern,Regular Season
2023-06-08T17:10:00+00:00,2023-06-08,01:10 PM,Minnesota Twins,Tampa Bay Rays,Tropicana Field,US/Eastern,Regular Season
2023-06-08T18:10:00+00:00,2023-06-08,01:10 PM,Baltimore Orioles,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-08T19:10:00+00:00,2023-06-08,01:10 PM,San Francisco Giants,Colorado Rockies,Coors Field,US/Mountain,Regular Season
2023-06-08T23:05:00+00:00,2023-06-08,07:05 PM,Chicago White Sox,New York Yankees,Yankee Stadium,US/Eastern,Regular Season
2023-06-08T23:07:00+00:00,2023-06-08,07:07 PM,Houston Astros,Toronto Blue Jays,Rogers Centre,Canada/Eastern,Regular Season
2023-06-08T23:20:00+00:00,2023-06-08,07:20 PM,New York Mets,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-09T01:38:00+00:00,2023-06-08,06:38 PM,Chicago Cubs,Los Angeles Angels,Angel Stadium,US/Pacific,Regular Season
2023-06-08T23:10:00+00:00,2023-06-08,07:10 PM,Boston Red Sox,Cleveland Guardians,Progressive Field,US/Eastern,Regular Season
2023-06-09T22:40:00+00:00,2023-06-09,06:40 PM,Texas Rangers,Tampa Bay Rays,Tropicana Field,US/Eastern,Regular Season
2023-06-09T23:05:00+00:00,2023-06-09,07:05 PM,Kansas City Royals,Baltimore Orioles,Oriole Park at Camden Yards,US/Eastern,Regular Season
2023-06-09T23:05:00+00:00,2023-06-09,07:05 PM,New York Mets,Pittsburgh Pirates,PNC Park,US/Eastern,Regular Season
2023-06-09T23:05:00+00:00,2023-06-09,07:05 PM,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park,US/Eastern,Regular Season
2023-06-09T23:05:00+00:00,2023-06-09,07:05 PM,Boston Red Sox,New York Yankees,Yankee Stadium,US/Eastern,Regular Season
2023-06-09T23:07:00+00:00,2023-06-09,07:07 PM,Minnesota Twins,Toronto Blue Jays,Rogers Centre,Canada/Eastern,Regular Season
2023-06-09T23:10:00+00:00,2023-06-09,07:10 PM,Arizona Diamondbacks,Detroit Tigers,Comerica Park,US/Eastern,Regular Season
2023-06-09T23:20:00+00:00,2023-06-09,07:20 PM,Washington Nationals,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-10T00:10:00+00:00,2023-06-09,07:10 PM,Miami Marlins,Chicago White Sox,Guaranteed Rate Field,US/Central,Regular Season
2023-06-10T00:10:00+00:00,2023-06-09,07:10 PM,Oakland Athletics,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-10T00:15:00+00:00,2023-06-09,07:15 PM,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,US/Central,Regular Season
2023-06-10T00:40:00+00:00,2023-06-09,06:40 PM,San Diego Padres,Colorado Rockies,Coors Field,US/Mountain,Regular Season
2023-06-10T01:38:00+00:00,2023-06-09,06:38 PM,Seattle Mariners,Los Angeles Angels,Angel Stadium,US/Pacific,Regular Season
2023-06-10T02:15:00+00:00,2023-06-09,07:15 PM,Chicago Cubs,San Francisco Giants,Oracle Park,US/Pacific,Regular Season
2023-06-09T23:10:00+00:00,2023-06-09,07:10 PM,Houston Astros,Cleveland Guardians,Progressive Field,US/Eastern,Regular Season
2023-06-10T17:10:00+00:00,2023-06-10,01:10 PM,Arizona Diamondbacks,Detroit Tigers,Comerica Park,US/Eastern,Regular Season
2023-06-10T18:10:00+00:00,2023-06-10,01:10 PM,Miami Marlins,Chicago White Sox,Guaranteed Rate Field,US/Central,Regular Season
2023-06-10T18:15:00+00:00,2023-06-10,01:15 PM,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,US/Central,Regular Season
2023-06-10T19:07:00+00:00,2023-06-10,03:07 PM,Minnesota Twins,Toronto Blue Jays,Rogers Centre,Canada/Eastern,Regular Season
2023-06-10T19:10:00+00:00,2023-06-10,01:10 PM,San Diego Padres,Colorado Rockies,Coors Field,US/Mountain,Regular Season
2023-06-10T20:05:00+00:00,2023-06-10,04:05 PM,Kansas City Royals,Baltimore Orioles,Oriole Park at Camden Yards,US/Eastern,Regular Season
2023-06-10T20:05:00+00:00,2023-06-10,04:05 PM,New York Mets,Pittsburgh Pirates,PNC Park,US/Eastern,Regular Season
2023-06-10T20:05:00+00:00,2023-06-10,04:05 PM,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park,US/Eastern,Regular Season
2023-06-10T20:10:00+00:00,2023-06-10,04:10 PM,Texas Rangers,Tampa Bay Rays,Tropicana Field,US/Eastern,Regular Season
2023-06-10T20:10:00+00:00,2023-06-10,03:10 PM,Oakland Athletics,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-10T23:35:00+00:00,2023-06-10,04:35 PM,Chicago Cubs,San Francisco Giants,Oracle Park,US/Pacific,Regular Season
2023-06-10T23:35:00+00:00,2023-06-10,07:35 PM,Boston Red Sox,New York Yankees,Yankee Stadium,US/Eastern,Regular Season
2023-06-11T02:07:00+00:00,2023-06-10,07:07 PM,Seattle Mariners,Los Angeles Angels,Angel Stadium,US/Pacific,Regular Season
2023-06-10T20:10:00+00:00,2023-06-10,04:10 PM,Washington Nationals,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-10T22:10:00+00:00,2023-06-10,06:10 PM,Houston Astros,Cleveland Guardians,Progressive Field,US/Eastern,Regular Season
2023-06-11T17:30:00+00:00,2023-06-11,01:30 PM,Washington Nationals,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-11T17:35:00+00:00,2023-06-11,01:35 PM,Kansas City Royals,Baltimore Orioles,Oriole Park at Camden Yards,US/Eastern,Regular Season
2023-06-11T17:35:00+00:00,2023-06-11,01:35 PM,New York Mets,Pittsburgh Pirates,PNC Park,US/Eastern,Regular Season
2023-06-11T17:35:00+00:00,2023-06-11,01:35 PM,Los Angeles Dodgers,Philadelphia Phillies,Citizens Bank Park,US/Eastern,Regular Season
2023-06-11T17:37:00+00:00,2023-06-11,01:37 PM,Minnesota Twins,Toronto Blue Jays,Rogers Centre,Canada/Eastern,Regular Season
2023-06-11T17:40:00+00:00,2023-06-11,01:40 PM,Arizona Diamondbacks,Detroit Tigers,Comerica Park,US/Eastern,Regular Season
2023-06-11T17:40:00+00:00,2023-06-11,01:40 PM,Texas Rangers,Tampa Bay Rays,Tropicana Field,US/Eastern,Regular Season
2023-06-11T18:10:00+00:00,2023-06-11,01:10 PM,Miami Marlins,Chicago White Sox,Guaranteed Rate Field,US/Central,Regular Season
2023-06-11T18:10:00+00:00,2023-06-11,01:10 PM,Oakland Athletics,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-11T18:15:00+00:00,2023-06-11,01:15 PM,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,US/Central,Regular Season
2023-06-11T19:10:00+00:00,2023-06-11,01:10 PM,San Diego Padres,Colorado Rockies,Coors Field,US/Mountain,Regular Season
2023-06-11T20:05:00+00:00,2023-06-11,01:05 PM,Chicago Cubs,San Francisco Giants,Oracle Park,US/Pacific,Regular Season
2023-06-11T20:07:00+00:00,2023-06-11,01:07 PM,Seattle Mariners,Los Angeles Angels,Angel Stadium,US/Pacific,Regular Season
2023-06-11T07:33:00+00:00,2023-06-11,03:33 AM,Boston Red Sox,New York Yankees,Yankee Stadium,US/Eastern,Regular Season
2023-06-11T17:40:00+00:00,2023-06-11,01:40 PM,Houston Astros,Cleveland Guardians,Progressive Field,US/Eastern,Regular Season
2023-06-12T23:10:00+00:00,2023-06-12,07:10 PM,Colorado Rockies,Boston Red Sox,Fenway Park,US/Eastern,Regular Season
2023-06-12T23:10:00+00:00,2023-06-12,07:10 PM,Atlanta Braves,Detroit Tigers,Comerica Park,US/Eastern,Regular Season
2023-06-12T23:45:00+00:00,2023-06-12,06:45 PM,San Francisco Giants,St. Louis Cardinals,Busch Stadium,US/Central,Regular Season
2023-06-13T00:05:00+00:00,2023-06-12,06:05 PM,Los Angeles Angels,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-13T00:10:00+00:00,2023-06-12,07:10 PM,Cincinnati Reds,Kansas City Royals,Kauffman Stadium,US/Central,Regular Season
2023-06-13T01:40:00+00:00,2023-06-12,06:40 PM,Tampa Bay Rays,Oakland Athletics,Oakland Coliseum,US/Pacific,Regular Season
2023-06-13T01:40:00+00:00,2023-06-12,06:40 PM,Miami Marlins,Seattle Mariners,T-Mobile Park,US/Pacific,Regular Season
2023-06-13T01:40:00+00:00,2023-06-12,06:40 PM,Philadelphia Phillies,Arizona Diamondbacks,Chase Field,US/Arizona,Regular Season
2023-06-13T23:05:00+00:00,2023-06-13,07:05 PM,Toronto Blue Jays,Baltimore Orioles,Oriole Park at Camden Yards,US/Eastern,Regular Season
2023-06-13T23:10:00+00:00,2023-06-13,07:10 PM,Colorado Rockies,Boston Red Sox,Fenway Park,US/Eastern,Regular Season
2023-06-13T23:10:00+00:00,2023-06-13,07:10 PM,Atlanta Braves,Detroit Tigers,Comerica Park,US/Eastern,Regular Season
2023-06-13T23:10:00+00:00,2023-06-13,07:10 PM,New York Yankees,New York Mets,Citi Field,US/Eastern,Regular Season
2023-06-13T23:40:00+00:00,2023-06-13,06:40 PM,Milwaukee Brewers,Minnesota Twins,Target Field,US/Central,Regular Season
2023-06-13T23:45:00+00:00,2023-06-13,06:45 PM,San Francisco Giants,St. Louis Cardinals,Busch Stadium,US/Central,Regular Season
2023-06-14T00:05:00+00:00,2023-06-13,07:05 PM,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,US/Central,Regular Season
2023-06-14T00:05:00+00:00,2023-06-13,06:05 PM,Los Angeles Angels,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-14T00:10:00+00:00,2023-06-13,07:10 PM,Cincinnati Reds,Kansas City Royals,Kauffman Stadium,US/Central,Regular Season
2023-06-14T01:40:00+00:00,2023-06-13,06:40 PM,Cleveland Guardians,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-14T01:40:00+00:00,2023-06-13,06:40 PM,Tampa Bay Rays,Oakland Athletics,Oakland Coliseum,US/Pacific,Regular Season
2023-06-14T01:40:00+00:00,2023-06-13,06:40 PM,Miami Marlins,Seattle Mariners,T-Mobile Park,US/Pacific,Regular Season
2023-06-14T02:10:00+00:00,2023-06-13,07:10 PM,Chicago White Sox,Los Angeles Dodgers,Dodger Stadium,US/Pacific,Regular Season
2023-06-14T00:10:00+00:00,2023-06-13,06:10 PM,Washington Nationals,Houston Astros,Minute Maid Park,US/Mountain,Regular Season
2023-06-14T01:40:00+00:00,2023-06-13,06:40 PM,Philadelphia Phillies,Arizona Diamondbacks,Chase Field,US/Arizona,Regular Season
2023-06-14T17:10:00+00:00,2023-06-14,01:10 PM,Atlanta Braves,Detroit Tigers,Comerica Park,US/Eastern,Regular Season
2023-06-14T17:10:00+00:00,2023-06-14,12:10 PM,Milwaukee Brewers,Minnesota Twins,Target Field,US/Central,Regular Season
2023-06-14T17:15:00+00:00,2023-06-14,12:15 PM,San Francisco Giants,St. Louis Cardinals,Busch Stadium,US/Central,Regular Season
2023-06-14T23:05:00+00:00,2023-06-14,07:05 PM,Toronto Blue Jays,Baltimore Orioles,Oriole Park at Camden Yards,US/Eastern,Regular Season
2023-06-14T23:10:00+00:00,2023-06-14,07:10 PM,Colorado Rockies,Boston Red Sox,Fenway Park,US/Eastern,Regular Season
2023-06-14T23:10:00+00:00,2023-06-14,07:10 PM,New York Yankees,New York Mets,Citi Field,US/Eastern,Regular Season
2023-06-15T00:05:00+00:00,2023-06-14,07:05 PM,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,US/Central,Regular Season
2023-06-15T00:05:00+00:00,2023-06-14,06:05 PM,Los Angeles Angels,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-15T00:10:00+00:00,2023-06-14,07:10 PM,Cincinnati Reds,Kansas City Royals,Kauffman Stadium,US/Central,Regular Season
2023-06-15T01:40:00+00:00,2023-06-14,06:40 PM,Cleveland Guardians,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-15T01:40:00+00:00,2023-06-14,06:40 PM,Tampa Bay Rays,Oakland Athletics,Oakland Coliseum,US/Pacific,Regular Season
2023-06-15T01:40:00+00:00,2023-06-14,06:40 PM,Miami Marlins,Seattle Mariners,T-Mobile Park,US/Pacific,Regular Season
2023-06-15T02:10:00+00:00,2023-06-14,07:10 PM,Chicago White Sox,Los Angeles Dodgers,Dodger Stadium,US/Pacific,Regular Season
2023-06-15T00:10:00+00:00,2023-06-14,06:10 PM,Washington Nationals,Houston Astros,Minute Maid Park,US/Mountain,Regular Season
2023-06-15T01:40:00+00:00,2023-06-14,06:40 PM,Philadelphia Phillies,Arizona Diamondbacks,Chase Field,US/Arizona,Regular Season
2023-06-15T17:05:00+00:00,2023-06-15,01:05 PM,Toronto Blue Jays,Baltimore Orioles,Oriole Park at Camden Yards,US/Eastern,Regular Season
2023-06-15T19:37:00+00:00,2023-06-15,12:37 PM,Tampa Bay Rays,Oakland Athletics,Oakland Coliseum,US/Pacific,Regular Season
2023-06-15T23:10:00+00:00,2023-06-15,06:10 PM,Detroit Tigers,Minnesota Twins,Target Field,US/Central,Regular Season
2023-06-15T23:20:00+00:00,2023-06-15,07:20 PM,Colorado Rockies,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-16T00:05:00+00:00,2023-06-15,07:05 PM,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,US/Central,Regular Season
2023-06-16T00:05:00+00:00,2023-06-15,06:05 PM,Los Angeles Angels,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-16T00:40:00+00:00,2023-06-15,05:40 PM,Cleveland Guardians,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-16T02:10:00+00:00,2023-06-15,07:10 PM,Chicago White Sox,Los Angeles Dodgers,Dodger Stadium,US/Pacific,Regular Season
2023-06-15T19:40:00+00:00,2023-06-15,12:40 PM,Philadelphia Phillies,Arizona Diamondbacks,Chase Field,US/Arizona,Regular Season
2023-06-16T00:10:00+00:00,2023-06-15,06:10 PM,Washington Nationals,Houston Astros,Minute Maid Park,US/Mountain,Regular Season
2023-06-16T18:20:00+00:00,2023-06-16,01:20 PM,Baltimore Orioles,Chicago Cubs,Wrigley Field,US/Central,Regular Season
2023-06-16T23:05:00+00:00,2023-06-16,07:05 PM,Miami Marlins,Washington Nationals,Nationals Park,US/Eastern,Regular Season
2023-06-16T23:10:00+00:00,2023-06-16,07:10 PM,St. Louis Cardinals,New York Mets,Citi Field,US/Eastern,Regular Season
2023-06-16T23:10:00+00:00,2023-06-16,07:10 PM,New York Yankees,Boston Red Sox,Fenway Park,US/Eastern,Regular Season
2023-06-16T23:20:00+00:00,2023-06-16,07:20 PM,Colorado Rockies,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-17T00:05:00+00:00,2023-06-16,06:05 PM,Toronto Blue Jays,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-17T00:10:00+00:00,2023-06-16,07:10 PM,Los Angeles Angels,Kansas City Royals,Kauffman Stadium,US/Central,Regular Season
2023-06-17T00:10:00+00:00,2023-06-16,07:10 PM,Detroit Tigers,Minnesota Twins,Target Field,US/Central,Regular Season
2023-06-17T00:10:00+00:00,2023-06-16,07:10 PM,Pittsburgh Pirates,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-17T01:40:00+00:00,2023-06-16,06:40 PM,Tampa Bay Rays,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-17T01:40:00+00:00,2023-06-16,06:40 PM,Philadelphia Phillies,Oakland Athletics,Oakland Coliseum,US/Pacific,Regular Season
2023-06-17T02:10:00+00:00,2023-06-16,07:10 PM,San Francisco Giants,Los Angeles Dodgers,Dodger Stadium,US/Pacific,Regular Season
2023-06-17T02:10:00+00:00,2023-06-16,07:10 PM,Chicago White Sox,Seattle Mariners,T-Mobile Park,US/Pacific,Regular Season
2023-06-17T00:10:00+00:00,2023-06-16,06:10 PM,Cincinnati Reds,Houston Astros,Minute Maid Park,US/Mountain,Regular Season
2023-06-17T01:40:00+00:00,2023-06-16,06:40 PM,Cleveland Guardians,Arizona Diamondbacks,Chase Field,US/Arizona,Regular Season
2023-06-17T18:10:00+00:00,2023-06-17,01:10 PM,Detroit Tigers,Minnesota Twins,Target Field,US/Central,Regular Season
2023-06-17T18:20:00+00:00,2023-06-17,01:20 PM,Baltimore Orioles,Chicago Cubs,Wrigley Field,US/Central,Regular Season
2023-06-17T20:05:00+00:00,2023-06-17,02:05 PM,Toronto Blue Jays,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-17T20:05:00+00:00,2023-06-17,04:05 PM,Miami Marlins,Washington Nationals,Nationals Park,US/Eastern,Regular Season
2023-06-17T20:07:00+00:00,2023-06-17,01:07 PM,Philadelphia Phillies,Oakland Athletics,Oakland Coliseum,US/Pacific,Regular Season
2023-06-17T20:10:00+00:00,2023-06-17,03:10 PM,Los Angeles Angels,Kansas City Royals,Kauffman Stadium,US/Central,Regular Season
2023-06-17T20:10:00+00:00,2023-06-17,04:10 PM,St. Louis Cardinals,New York Mets,Citi Field,US/Eastern,Regular Season
2023-06-17T20:10:00+00:00,2023-06-17,01:10 PM,Chicago White Sox,Seattle Mariners,T-Mobile Park,US/Pacific,Regular Season
2023-06-17T20:10:00+00:00,2023-06-17,03:10 PM,Pittsburgh Pirates,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-17T23:15:00+00:00,2023-06-17,04:15 PM,Tampa Bay Rays,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-17T23:15:00+00:00,2023-06-17,07:15 PM,New York Yankees,Boston Red Sox,Fenway Park,US/Eastern,Regular Season
2023-06-18T01:10:00+00:00,2023-06-17,06:10 PM,San Francisco Giants,Los Angeles Dodgers,Dodger Stadium,US/Pacific,Regular Season
2023-06-17T20:10:00+00:00,2023-06-17,02:10 PM,Cincinnati Reds,Houston Astros,Minute Maid Park,US/Mountain,Regular Season
2023-06-17T20:10:00+00:00,2023-06-17,04:10 PM,Colorado Rockies,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-18T02:10:00+00:00,2023-06-17,07:10 PM,Cleveland Guardians,Arizona Diamondbacks,Chase Field,US/Arizona,Regular Season
2023-06-18T17:30:00+00:00,2023-06-18,01:30 PM,Colorado Rockies,Atlanta Braves,Truist Park,US/Eastern,Regular Season
2023-06-18T17:35:00+00:00,2023-06-18,01:35 PM,Miami Marlins,Washington Nationals,Nationals Park,US/Eastern,Regular Season
2023-06-18T17:40:00+00:00,2023-06-18,01:40 PM,St. Louis Cardinals,New York Mets,Citi Field,US/Eastern,Regular Season
2023-06-18T18:10:00+00:00,2023-06-18,01:10 PM,Los Angeles Angels,Kansas City Royals,Kauffman Stadium,US/Central,Regular Season
2023-06-18T18:10:00+00:00,2023-06-18,01:10 PM,Detroit Tigers,Minnesota Twins,Target Field,US/Central,Regular Season
2023-06-18T18:10:00+00:00,2023-06-18,01:10 PM,Pittsburgh Pirates,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-18T18:20:00+00:00,2023-06-18,01:20 PM,Baltimore Orioles,Chicago Cubs,Wrigley Field,US/Central,Regular Season
2023-06-18T18:35:00+00:00,2023-06-18,12:35 PM,Toronto Blue Jays,Texas Rangers,Globe Life Field,US/Mountain,Regular Season
2023-06-18T20:07:00+00:00,2023-06-18,01:07 PM,Philadelphia Phillies,Oakland Athletics,Oakland Coliseum,US/Pacific,Regular Season
2023-06-18T20:10:00+00:00,2023-06-18,01:10 PM,San Francisco Giants,Los Angeles Dodgers,Dodger Stadium,US/Pacific,Regular Season
2023-06-18T20:10:00+00:00,2023-06-18,01:10 PM,Tampa Bay Rays,San Diego Padres,Petco Park,US/Pacific,Regular Season
2023-06-18T20:10:00+00:00,2023-06-18,01:10 PM,Chicago White Sox,Seattle Mariners,T-Mobile Park,US/Pacific,Regular Season
2023-06-18T23:08:00+00:00,2023-06-18,07:08 PM,New York Yankees,Boston Red Sox,Fenway Park,US/Eastern,Regular Season
2023-06-18T18:10:00+00:00,2023-06-18,12:10 PM,Cincinnati Reds,Houston Astros,Minute Maid Park,US/Mountain,Regular Season
2023-06-18T20:10:00+00:00,2023-06-18,01:10 PM,Cleveland Guardians,Arizona Diamondbacks,Chase Field,US/Arizona,Regular Season
2023-06-19T20:05:00+00:00,2023-06-19,04:05 PM,St. Louis Cardinals,Washington Nationals,Nationals Park,US/Eastern,Regular Season
2023-06-19T22:40:00+00:00,2023-06-19,06:40 PM,Toronto Blue Jays,Miami Marlins,loanDepot park,US/Eastern,Regular Season
2023-06-19T23:05:00+00:00,2023-06-19,07:05 PM,Chicago Cubs,Pittsburgh Pirates,PNC Park,US/Eastern,Regular Season
2023-06-19T23:10:00+00:00,2023-06-19,07:10 PM,Colorado Rockies,Cincinnati Reds,Great American Ball Park,US/Eastern,Regular Season
2023-06-19T23:10:00+00:00,2023-06-19,07:10 PM,Kansas City Royals,Detroit Tigers,Comerica Park,US/Eastern,Regular Season
2023-06-19T23:40:00+00:00,2023-06-19,06:40 PM,Boston Red Sox,Minnesota Twins,Target Field,US/Central,Regular Season
2023-06-20T00:10:00+00:00,2023-06-19,07:10 PM,Texas Rangers,Chicago White Sox,Guaranteed Rate Field,US/Central,Regular Season
2023-06-20T00:10:00+00:00,2023-06-19,07:10 PM,Arizona Diamondbacks,Milwaukee Brewers,American Family Field,US/Central,Regular Season
2023-06-20T01:45:00+00:00,2023-06-19,06:45 PM,San Diego Padres,San Francisco Giants,Oracle Park,US/Pacific,Regular Season
2023-06-20T00:10:00+00:00,2023-06-19,06:10 PM,New York Mets,Houston Astros,Minute Maid Park,US/Mountain,Regular Season
2023-06-20T22:40:00+00:00,2023-06-20,06:40 PM,Baltimore Orioles,Tampa Bay Rays,Tropicana Field,US/Eastern,Regular Season
2023-06-20T22:40:00+00:00,2023-06-20,06:40 PM,Atlanta Braves,Philadelphia Phillies,Citizens Bank Park,US/Eastern,Regular Season
2023-06-20T22:40:00+00:00,2023-06-20,06:40 PM,Toronto Blue Jays,Miami Marlins,loanDepot park,US/Eastern,Regular Season
